"IdGenotype","IdProgeny","Site","Plot","LineNumber","TreeNumber","IdTrunk","ObservationDate","BottomPeriphery","OneAndHalfMeterPeriphery","TwoMeterPeriphery","Height","LengthWoodDensitySampleOne","WoodDensityDryWeightSampleOne","LengthWoodDensitySampleTwo","WoodDensityDryWeightSampleTwo","PlantingDate","MAP","TreeId"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2021-01-13,280,258,257,3.56,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2022-01-13,263,257,257,4.26,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2023-01-17,274,260,250,4.8,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2023-12-26,260,290,258,5.43,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2014-10-02,232,NA,NA,0.44,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2015-01-19,249,NA,NA,0.62,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2016-01-21,244,NA,NA,0.94,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2017-01-18,291,NA,NA,1.5,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2018-01-12,284,264,NA,1.76,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2019-01-23,271,254,NA,2.65,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2020-01-28,260,250,NA,3.15,20.2,0.3,22.6,0.5,2011-01-01,108,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2021-01-13,291,262,254,3.94,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2022-01-13,297,258,257,4.4,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_37_20"
"GE01","PO9915","SMSE","B22","37","20","Stipe_SMSE_B22_37_20",2023-01-17,290,270,245,5.2,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_37_20"
