TreeId,MAP,Site,LAI_MAP,IdGenotype,Date,Cumulated_LAI
PR_G5-1_1_GE16_14_26,57,PR,2.1459510072,GE16,2015-02-09,3.7921523639999997
PR_G5-1_1_GE16_14_26,69,PR,3.50244561333333,GE16,2016-02-12,7.29459797733333
PR_G5-1_1_GE16_14_26,81,PR,3.4684922272,GE16,2017-02-27,10.76309020453333
PR_G5-1_1_GE16_14_26,93,PR,3.4752413696,GE16,2018-02-09,14.23833157413333
PR_G5-1_1_GE16_14_26,105,PR,4.15073432106667,GE16,2019-02-18,18.389065895199998
PR_G5-1_1_GE16_14_26,117,PR,3.5997489528,GE16,2020-02-19,21.988814847999997
PR_G5-1_1_GE16_14_26,129,PR,4.890597712,GE16,2021-02-10,26.87941256
PR_G5-1_1_GE16_14_26,141,PR,5.3503802352,GE16,2022-02-09,32.2297927952
PR_G5-1_1_GE16_14_26,153,PR,4.9149356256,GE16,2023-02-08,37.1447284208
PR_G5-1_1_GE16_14_26,165,PR,4.976283312,GE16,2024-02-07,42.1210117328
PR_G5-1_2_GE02_29_13,46,PR,1.5841930104,GE02,2014-03-03,1.5841930104
PR_G5-1_2_GE02_29_13,57,PR,1.857007152,GE02,2015-02-13,3.4412001624
PR_G5-1_2_GE02_29_13,69,PR,1.846820976,GE02,2016-02-17,5.2880211383999995
PR_G5-1_2_GE02_29_13,82,PR,3.11423966186667,GE02,2017-03-03,8.402260800266669
PR_G5-1_2_GE02_29_14,46,PR,1.66963463333333,GE02,2014-03-03,1.66963463333333
PR_G5-1_2_GE02_29_14,57,PR,2.49009293866667,GE02,2015-02-13,4.1597275719999995
PR_G5-1_2_GE02_29_14,69,PR,2.444177736,GE02,2016-02-17,6.603905308
PR_G5-1_2_GE02_29_14,82,PR,3.34605204266667,GE02,2017-03-03,9.94995735066667
PR_G5-1_2_GE02_29_15,46,PR,1.59394061493333,GE02,2014-03-03,1.59394061493333
PR_G5-1_2_GE02_29_15,57,PR,2.1324070768,GE02,2015-02-13,3.72634769173333
PR_G5-1_2_GE02_29_15,69,PR,2.57718474346667,GE02,2016-02-17,6.303532435199999
PR_G5-1_2_GE02_29_15,82,PR,2.69758182026667,GE02,2017-03-03,9.00111425546667
PR_G5-1_2_GE03_29_18,46,PR,2.35130629066667,GE03,2014-03-03,2.35130629066667
PR_G5-1_2_GE03_29_18,57,PR,3.00770016213333,GE03,2015-02-13,5.3590064528
PR_G5-1_2_GE03_29_18,69,PR,3.24900576,GE03,2016-02-17,8.6080122128
PR_G5-1_2_GE03_29_18,82,PR,4.30998568,GE03,2017-03-03,12.917997892799999
PR_G5-1_2_GE03_29_18,93,PR,3.79467755333333,GE03,2018-02-13,16.71267544613333
PR_G5-1_2_GE03_29_18,105,PR,3.6524680192,GE03,2019-02-21,20.36514346533333
PR_G5-1_2_GE03_29_18,117,PR,4.88201847466667,GE03,2020-02-22,25.247161939999998
PR_G5-1_2_GE03_29_18,129,PR,4.437364932,GE03,2021-02-13,29.684526872
PR_G5-1_2_GE03_29_18,141,PR,5.1908688832,GE03,2022-02-12,34.8753957552
PR_G5-1_2_GE03_29_18,165,PR,5.3717231568,GE03,2024-02-10,40.247118912000005
PR_G5-1_2_GE03_29_19,46,PR,1.9523119616,GE03,2014-03-03,1.9523119616
PR_G5-1_2_GE03_29_19,57,PR,2.42209968,GE03,2015-02-14,4.3744116416
PR_G5-1_2_GE03_29_19,82,PR,3.59135950506667,GE03,2017-03-03,7.96577114666667
PR_G5-1_2_GE03_29_19,93,PR,3.371031664,GE03,2018-02-13,11.33680281066667
PR_G5-1_2_GE03_29_19,105,PR,4.0744960256,GE03,2019-02-21,15.41129883626667
PR_G5-1_2_GE03_29_19,117,PR,4.47487253546667,GE03,2020-02-22,19.88617137173334
PR_G5-1_2_GE03_29_19,129,PR,3.8851516704,GE03,2021-02-13,23.77132304213334
PR_G5-1_2_GE03_29_19,141,PR,4.49714491893333,GE03,2022-02-12,28.26846796106667
PR_G5-1_2_GE03_29_19,153,PR,4.46512252853333,GE03,2023-02-11,32.7335904896
PR_G5-1_2_GE03_29_19,165,PR,5.44436879653333,GE03,2024-02-10,38.17795928613333
PR_G5-1_2_GE03_29_20,46,PR,2.09196614293333,GE03,2014-03-03,2.09196614293333
PR_G5-1_2_GE03_29_20,57,PR,2.03822552266667,GE03,2015-02-14,4.1301916656
PR_G5-1_2_GE03_29_20,69,PR,3.00039686613333,GE03,2016-02-18,7.13058853173333
PR_G5-1_2_GE03_29_20,82,PR,2.7403376,GE03,2017-03-04,9.87092613173333
PR_G5-1_2_GE03_29_20,93,PR,2.59120728533333,GE03,2018-02-13,12.46213341706666
PR_G5-1_2_GE03_29_20,105,PR,3.063152092,GE03,2019-02-21,15.52528550906666
PR_G5-1_2_GE03_29_20,117,PR,3.6054882864,GE03,2020-02-22,19.13077379546666
PR_G5-1_2_GE03_29_20,129,PR,3.90599836293333,GE03,2021-02-13,23.03677215839999
PR_G5-1_2_GE03_29_20,141,PR,4.20463990613333,GE03,2022-02-12,27.24141206453332
PR_G5-1_2_GE03_29_20,153,PR,3.87504770986667,GE03,2023-02-11,31.116459774399992
PR_G5-1_2_GE03_29_20,165,PR,4.4421841464,GE03,2024-02-10,35.558643920799994
PR_G5-1_2_GE06_34_10,46,PR,1.9449045616,GE06,2014-03-06,1.9449045616
PR_G5-1_2_GE06_34_10,57,PR,2.2152194064,GE06,2015-02-14,4.160123968000001
PR_G5-1_2_GE06_34_10,69,PR,3.6997536576,GE06,2016-02-18,7.859877625600001
PR_G5-1_2_GE06_34_10,82,PR,4.25374683066667,GE06,2017-03-04,12.11362445626667
PR_G5-1_2_GE06_34_11,46,PR,1.98495470506667,GE06,2014-03-06,1.98495470506667
PR_G5-1_2_GE06_34_11,57,PR,2.721390672,GE06,2015-02-14,4.70634537706667
PR_G5-1_2_GE06_34_11,69,PR,3.34352151466667,GE06,2016-02-18,8.049866891733341
PR_G5-1_2_GE06_34_11,81,PR,3.730923196,GE06,2017-02-25,11.78079008773334
PR_G5-1_2_GE06_34_9,46,PR,1.63627464,GE06,2014-03-06,1.63627464
PR_G5-1_2_GE06_34_9,57,PR,2.2543144624,GE06,2015-02-14,3.8905891024
PR_G5-1_2_GE06_34_9,69,PR,3.17615004373333,GE06,2016-02-18,7.0667391461333295
PR_G5-1_2_GE06_34_9,82,PR,3.2681112464,GE06,2017-03-04,10.33485039253333
PR_G5-1_2_GE09_28_25,46,PR,2.1237216,GE09,2014-03-01,2.1237216
PR_G5-1_2_GE09_28_25,57,PR,2.935204272,GE09,2015-02-13,5.058925872
PR_G5-1_2_GE09_28_25,82,PR,4.09543481013333,GE09,2017-03-03,9.15436068213333
PR_G5-1_2_GE09_28_26,46,PR,2.4619747152,GE09,2014-03-01,2.4619747152
PR_G5-1_2_GE09_28_26,57,PR,2.94972678,GE09,2015-02-13,5.411701495200001
PR_G5-1_2_GE09_28_26,82,PR,4.81567619866667,GE09,2017-03-03,10.227377693866671
PR_G5-1_2_GE09_29_25,46,PR,1.9239091872,GE09,2014-03-03,1.9239091872
PR_G5-1_2_GE09_29_25,57,PR,2.8714461776,GE09,2015-02-14,4.795355364800001
PR_G5-1_2_GE09_29_25,69,PR,3.696428736,GE09,2016-02-18,8.4917841008
PR_G5-1_2_GE09_29_25,82,PR,3.87494894453333,GE09,2017-03-04,12.36673304533333
