TreeId,MAP,Site,IdGenotype,sum_stalk_biomass_mes,Cumulated_stalk_biomass_mes,Date
PR_G5-1_2_GE09_29_25,154,PR,GE09,1.547015474311298,72.12538301595364,2023-03-31
PR_G5-1_2_GE09_29_25,156,PR,GE09,1.325823162518472,73.45120617847212,2023-05-05
PR_G5-1_2_GE09_29_25,164,PR,GE09,1.443275809206839,76.3377577968858,2024-01-30
PR_G5-1_2_GE12_29_10,47,PR,GE12,0.460132791427071,0.920265582854142,2014-04-30
PR_G5-1_2_GE12_29_10,48,PR,GE12,0.4318578018322267,1.3521233846863687,2014-05-28
PR_G5-1_2_GE12_29_10,50,PR,GE12,0.3686518287145204,1.7207752134008891,2014-07-04
PR_G5-1_2_GE12_29_10,51,PR,GE12,0.2553230091243881,1.9760982225252772,2014-08-11
PR_G5-1_2_GE12_29_10,52,PR,GE12,0.3570274591738434,2.3331256816991206,2014-09-08
PR_G5-1_2_GE12_29_10,53,PR,GE12,0.3169266472081,2.6500523289072206,2014-10-06
PR_G5-1_2_GE12_29_10,54,PR,GE12,0.3910566270805727,3.0411089559877933,2014-11-03
PR_G5-1_2_GE12_29_10,59,PR,GE12,0.644624575937128,3.6857335319249214,2015-04-20
PR_G5-1_2_GE12_29_10,60,PR,GE12,0.596113196279943,4.281846728204864,2015-05-08
PR_G5-1_2_GE12_29_10,61,PR,GE12,0.545255116384606,4.82710184458947,2015-06-15
PR_G5-1_2_GE12_29_10,63,PR,GE12,0.6679466001053209,6.162995044800112,2015-08-28
PR_G5-1_2_GE12_29_10,65,PR,GE12,0.574497986726595,6.737493031526706,2015-10-05
PR_G5-1_2_GE12_29_10,66,PR,GE12,0.5280120960001995,7.793517223527105,2015-11-30
PR_G5-1_2_GE12_29_10,73,PR,GE12,0.5194765428124445,8.312993766339549,2016-06-13
PR_G5-1_2_GE12_29_10,74,PR,GE12,0.7818870134417605,9.876767793223069,2016-07-29
PR_G5-1_2_GE12_29_10,76,PR,GE12,0.614421329832202,10.491189123055271,2016-09-23
PR_G5-1_2_GE12_29_10,77,PR,GE12,0.56869622375022,11.628581570555712,2016-10-31
PR_G5-1_2_GE12_29_10,89,PR,GE12,0.929173748356559,13.486929067268829,2017-10-30
PR_G5-1_2_GE12_29_10,91,PR,GE12,1.03625950107653,14.52318856834536,2017-12-06
PR_G5-1_2_GE12_29_10,92,PR,GE12,0.7177409053957929,15.240929473741152,2018-01-31
PR_G5-1_2_GE12_29_10,102,PR,GE12,1.2842935820320676,17.809516637805288,2018-11-26
PR_G5-1_2_GE12_29_10,105,PR,GE12,1.2196138576064088,19.029130495411696,2019-02-27
PR_G5-1_2_GE12_29_10,108,PR,GE12,1.324503818606519,20.353634314018215,2019-05-03
PR_G5-1_2_GE12_29_10,109,PR,GE12,1.4110995659607994,23.175833445939812,2019-06-28
PR_G5-1_2_GE12_29_10,113,PR,GE12,0.889555061648085,24.065388507587897,2019-10-18
PR_G5-1_2_GE12_29_10,114,PR,GE12,0.885911595639247,24.951300103227144,2019-11-25
PR_G5-1_2_GE12_29_10,120,PR,GE12,0.958823018827846,25.91012312205499,2020-05-29
PR_G5-1_2_GE12_29_10,122,PR,GE12,2.023953342985382,27.934076465040373,2020-07-07
PR_G5-1_2_GE12_29_10,123,PR,GE12,1.917678252320622,29.851754717360997,2020-08-08
PR_G5-1_2_GE12_29_10,124,PR,GE12,1.682386593394223,31.53414131075522,2020-09-01
PR_G5-1_2_GE12_29_10,125,PR,GE12,1.524788272831939,33.05892958358716,2020-10-07
PR_G5-1_2_GE12_29_10,126,PR,GE12,1.1290793581389509,34.18800894172611,2020-11-17
PR_G5-1_2_GE12_29_10,135,PR,GE12,2.0705713509169943,36.2585802926431,2021-08-30
PR_G5-1_2_GE12_29_10,137,PR,GE12,1.451685339131174,37.71026563177428,2021-10-27
PR_G5-1_2_GE12_29_10,138,PR,GE12,1.504487091748826,39.214752723523105,2021-11-08
PR_G5-1_2_GE12_29_10,139,PR,GE12,1.717265178945416,40.93201790246852,2021-12-01
PR_G5-1_2_GE12_29_10,140,PR,GE12,1.202928550965893,42.13494645343442,2022-01-19
PR_G5-1_2_GE12_29_10,152,PR,GE12,2.560558713136729,44.695505166571145,2023-01-30
PR_G5-1_2_GE12_29_10,159,PR,GE12,2.452788751386022,47.14829391795717,2023-08-31
PR_G5-1_2_GE12_29_10,161,PR,GE12,2.076489515057883,49.22478343301505,2023-10-05
PR_G5-1_2_GE12_29_8,47,PR,GE12,0.4451000334263004,0.8902000668526008,2014-04-30
PR_G5-1_2_GE12_29_8,49,PR,GE12,0.417374209851885,1.3075742767044858,2014-06-06
PR_G5-1_2_GE12_29_8,50,PR,GE12,0.37515785027088083,1.6827321269753666,2014-07-04
PR_G5-1_2_GE12_29_8,51,PR,GE12,0.47202705663839806,2.1547591836137645,2014-08-01
PR_G5-1_2_GE12_29_8,52,PR,GE12,0.42490515624974456,2.579664339863509,2014-09-08
PR_G5-1_2_GE12_29_8,59,PR,GE12,0.718406009073028,4.016476358009565,2015-04-29
PR_G5-1_2_GE12_29_8,61,PR,GE12,0.814737183676857,4.831213541686422,2015-06-15
PR_G5-1_2_GE12_29_8,62,PR,GE12,0.721401189365984,5.552614731052406,2015-07-13
PR_G5-1_2_GE12_29_8,63,PR,GE12,0.6390188908496539,6.19163362190206,2015-08-10
PR_G5-1_2_GE12_29_8,65,PR,GE12,0.54714185920946,6.73877548111152,2015-10-14
PR_G5-1_2_GE12_29_8,66,PR,GE12,0.622811612957088,7.361587094068608,2015-11-20
PR_G5-1_2_GE12_29_8,67,PR,GE12,0.5201058255585471,7.881692919627155,2015-12-09
PR_G5-1_2_GE12_29_8,72,PR,GE12,0.7875047742678529,8.669197693895008,2016-05-06
PR_G5-1_2_GE12_29_8,73,PR,GE12,0.9216199947825741,9.590817688677582,2016-06-03
PR_G5-1_2_GE12_29_8,74,PR,GE12,0.7185394109756971,10.30935709965328,2016-07-01
PR_G5-1_2_GE12_29_8,77,PR,GE12,0.49459782316754997,10.80395492282083,2016-10-21
PR_G5-1_2_GE12_29_8,78,PR,GE12,0.4842949266873451,11.772544776195522,2016-11-28
PR_G5-1_2_GE12_29_8,88,PR,GE12,1.0029419853785269,12.775486761574049,2017-09-13
PR_G5-1_2_GE12_29_8,89,PR,GE12,1.004533707607702,13.780020469181752,2017-10-02
PR_G5-1_2_GE12_29_8,90,PR,GE12,1.106450050021006,14.886470519202758,2017-11-08
PR_G5-1_2_GE12_29_8,92,PR,GE12,1.174210401459854,16.060680920662612,2018-01-22
PR_G5-1_2_GE12_29_8,98,PR,GE12,1.574418675295421,17.63509959595803,2018-07-09
PR_G5-1_2_GE12_29_8,99,PR,GE12,1.511290574712643,19.146390170670674,2018-08-24
PR_G5-1_2_GE12_29_8,100,PR,GE12,1.359283037937149,20.505673208607824,2018-09-03
PR_G5-1_2_GE12_29_8,101,PR,GE12,1.593881238373642,22.099554446981465,2018-10-01
PR_G5-1_2_GE12_29_8,102,PR,GE12,1.524817255148858,23.624371702130322,2018-11-07
PR_G5-1_2_GE12_29_8,103,PR,GE12,1.4209958156049198,25.04536751773524,2018-12-05
PR_G5-1_2_GE12_29_8,104,PR,GE12,0.9241083659096619,25.9694758836449,2019-01-11
PR_G5-1_2_GE12_29_8,113,PR,GE12,1.6380136959689158,27.607489579613816,2019-10-09
PR_G5-1_2_GE12_29_8,114,PR,GE12,1.23099581390574,28.838485393519555,2019-11-06
PR_G5-1_2_GE12_29_8,118,PR,GE12,1.3091337197739579,30.147619113293512,2020-03-25
