Site,TreeId,MAP,IdGenotype,Date,BunchMass,DryMesocarpOilContent,MesocarpsSampleWC,n_of_fruit,biomass_fresh_fruit,biomass_dry_fruit,stalk_dry_biomass,stalk_fresh_biomass
PR,PR_G5-1_5_GE09_69_9,46,GE09,2014-03-10,2.0,,,,,,,
PR,PR_G5-1_5_GE12_70_20,46,GE12,2014-03-28,8.600000000000001,,,,,,,
PR,PR_G5-1_5_GE16_74_10,46,GE16,2014-03-19,9.6,,,,,,,
PR,PR_G5-1_5_GE16_74_11,46,GE16,2014-03-28,10.8,,,,,,,
PR,PR_G5-1_5_GE16_74_9,46,GE16,2014-03-28,21.599999999999998,,,,,,,
PR,PR_G5-1_5_GE06_79_13,46,GE06,2014-03-28,8.4,,,,,,,
PR,PR_G5-1_5_GE06_79_14,46,GE06,2014-03-28,16.4,,,,,,,
PR,PR_G5-1_5_GE06_79_15,46,GE06,2014-03-28,17.71,78.51,0.28725,,,,,2.0
PR,PR_G5-1_5_GE02_79_23,46,GE02,2014-03-28,12.6,,,,,,,
PR,PR_G5-1_5_GE02_79_24,46,GE02,2014-03-28,12.599999999999998,,,,,,,
PR,PR_G5-1_5_GE02_79_25,46,GE02,2014-03-28,7.6,,,,,,,
PR,PR_G5-1_5_GE03_79_3,46,GE03,2014-03-28,12.600000000000001,,,,,,,
PR,PR_G5-1_5_GE03_79_4,46,GE03,2014-03-28,14.0,,,,,,,
PR,PR_G5-1_5_GE03_79_5,46,GE03,2014-03-28,13.2,,,,,,,
PR,PR_G5-1_1_GE12_9_5,46,GE12,2014-03-31,12.8,81.24,0.311,624,4.0600000000000005,0.8672627918529562,0.409896800063704,1.384
PR,PR_G5-1_1_GE12_10_4,47,GE12,2014-04-28,17.2,82.06,0.1385,647,4.032,1.0274133333333342,0.5478598566365829,1.722
PR,PR_G5-1_1_GE12_10_5,47,GE12,2014-04-28,7.0,81.84,0.2825,615,5.558,1.1249927710843382,0.4835492143025175,1.568
PR,PR_G5-1_2_GE16_13_3,47,GE16,2014-04-28,10.0,80.12,0.26225,,,,,1.5939999999999999
PR,PR_G5-1_1_GE06_14_14,47,GE06,2014-04-28,5.4,79.87,0.2965,606,3.038,0.8136156996204831,0.6455738646260049,1.7720000000000002
PR,PR_G5-1_1_GE06_14_15,47,GE06,2014-04-18,6.0,,,,,,,
PR,PR_G5-1_1_GE02_14_19,47,GE02,2014-04-18,4.0,,,,,,,
PR,PR_G5-1_1_GE02_14_20,47,GE02,2014-04-18,3.8,,,,,,,
PR,PR_G5-1_1_GE02_14_21,47,GE02,2014-04-28,17.0,84.22,0.254125,1084,5.352,0.9481941945841594,0.9154285194103038,2.75
PR,PR_G5-1_1_GE16_14_24,47,GE16,2014-04-18,12.8,,,,,,,
PR,PR_G5-1_1_GE16_14_25,47,GE16,2014-04-28,17.8,82.91,0.22975,,,,,1.74
PR,PR_G5-1_1_GE16_14_26,47,GE16,2014-04-18,5.8,,,,,,,
PR,PR_G5-1_1_GE06_15_15,47,GE06,2014-04-18,7.8,,,,,,,
PR,PR_G5-1_1_GE03_19_18,47,GE03,2014-04-18,8.8,,,,,,,
PR,PR_G5-1_1_GE03_19_19,47,GE03,2014-04-28,8.8,80.12,0.33775,,,,,1.346
PR,PR_G5-1_1_GE03_19_20,47,GE03,2014-04-28,9.6,80.03,0.26525,,,,,1.6059999999999999
PR,PR_G5-1_2_GE16_24_10,47,GE16,2014-04-30,15.799999999999999,81.305,0.273875,,,,,2.968
PR,PR_G5-1_2_GE16_24_11,47,GE16,2014-04-21,13.6,79.62,0.29025,,,,,1.428
PR,PR_G5-1_2_GE16_24_9,47,GE16,2014-04-21,21.0,79.57,0.293,,,,,1.948
PR,PR_G5-1_2_GE09_28_25,47,GE09,2014-04-30,7.0,78.88499999999999,0.346875,1439,2.2,0.9651861164600471,0.5134497871323901,1.38
PR,PR_G5-1_2_GE09_28_26,47,GE09,2014-04-30,18.8,79.84,0.27737500000000004,1840,8.588000000000001,1.9887611265159126,1.3940246309924549,3.592
PR,PR_G5-1_2_GE12_29_10,47,GE12,2014-04-30,20.4,81.305,0.293875,1139,7.5520000000000005,1.0819092041576708,0.920265582854142,2.598
PR,PR_G5-1_2_GE02_29_13,47,GE02,2014-04-30,8.6,83.05000000000001,0.256,1290,3.54,1.1857905835176985,0.6122916599083235,1.856
PR,PR_G5-1_2_GE02_29_14,47,GE02,2014-04-21,14.0,83.0,0.243,1096,5.588,0.8036713114431681,0.8100930729451631,2.508
PR,PR_G5-1_2_GE02_29_15,47,GE02,2014-04-30,7.4,81.975,0.26475,1100,4.766,0.9436691569218418,0.6874584992355117,2.1
PR,PR_G5-1_2_GE03_29_18,47,GE03,2014-04-30,13.399999999999999,81.66499999999999,0.238,,,,,2.67
PR,PR_G5-1_2_GE03_29_19,47,GE03,2014-04-30,13.8,73.695,0.4455,,,,,3.1
PR,PR_G5-1_2_GE03_29_20,47,GE03,2014-04-21,14.4,79.66,0.3165,,,,,1.0539999999999998
PR,PR_G5-1_2_GE09_29_25,47,GE09,2014-04-30,10.8,79.07,0.31375,1309,3.894,1.6412093337943454,0.8473455906084337,2.434
PR,PR_G5-1_2_GE12_29_8,47,GE12,2014-04-30,18.4,79.66499999999999,0.27849999999999997,1069,5.536,1.4787488961686361,0.8902000668526008,2.662
PR,PR_G5-1_2_GE12_29_9,47,GE12,2014-04-30,10.6,81.725,0.29125,572,4.45,1.6425246733614074,0.5396015392053088,1.5259999999999998
